Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,Delayed
2001,9,4,2,1901.0,1750,2024.0,1933,DL,899,N37438,83.0,103.0,65.0,51.0,71.0,BWI,CVG,430,6,12,0,,0,,,,,,Y
2001,6,10,7,1323.0,1320,1503.0,1501,MQ,3706,-N498M,100.0,101.0,78.0,2.0,3.0,LIT,DFW,304,19,3,0,,0,,,,,,Y
2001,6,4,1,1105.0,1040,1340.0,1317,DL,1522,N2815æ,155.0,157.0,120.0,23.0,25.0,ATL,BOS,946,5,30,0,,0,,,,,,Y
2001,11,20,2,1248.0,1240,1530.0,1520,WN,2008,N757@@,102.0,100.0,83.0,10.0,8.0,SJC,PHX,621,2,17,0,,0,,,,,,Y
2001,11,24,6,1033.0,1005,1321.0,1305,US,91,N172äæ,348.0,360.0,320.0,16.0,28.0,PHL,SAN,2369,2,26,0,,0,,,,,,Y
2001,4,16,1,1509.0,1506,1620.0,1615,UA,2217,N949ä1,71.0,69.0,49.0,5.0,3.0,SFO,BUR,326,2,20,0,,0,,,,,,Y
2001,3,30,5,1457.0,1425,1534.0,1459,AQ,238,-N817A,37.0,34.0,22.0,35.0,32.0,HNL,OGG,100,4,11,0,,0,,,,,,Y
2001,1,16,2,2144.0,2045,2235.0,2140,CO,1685,N72824,51.0,55.0,36.0,55.0,59.0,IAH,CRP,201,4,11,0,,0,,,,,,Y
2001,11,28,3,1104.0,1105,1401.0,1347,UA,1670,N357ä1,117.0,102.0,95.0,14.0,-1.0,DEN,DFW,641,5,17,0,,0,,,,,,Y
2001,11,18,7,1259.0,1255,1416.0,1419,MQ,4884,-N286M,77.0,84.0,62.0,-3.0,4.0,SYR,JFK,209,8,7,0,,0,,,,,,Y
2001,8,24,5,1045.0,1025,1145.0,1130,WN,2374,N515@@,60.0,65.0,45.0,15.0,20.0,ONT,PHX,325,5,10,0,,0,,,,,,Y
2001,5,9,3,853.0,845,1043.0,1050,NW,1867,N767N3,110.0,125.0,80.0,-7.0,8.0,JFK,DTW,508,12,18,0,,0,,,,,,Y
2001,2,23,5,2116.0,2044,31.0,2355,AA,550,N2AJA1,135.0,131.0,96.0,36.0,32.0,DFW,SDF,733,3,36,0,,0,,,,,,Y
2001,5,30,3,819.0,815,1130.0,1135,CO,143,N67157,371.0,380.0,311.0,-5.0,4.0,EWR,LAX,2454,37,23,0,,0,,,,,,Y
2001,7,7,6,1200.0,1200,1303.0,1258,AS,367,N962Aâ,63.0,58.0,33.0,5.0,0.0,SEA,GEG,224,4,26,0,,0,,,,,,Y
2001,5,5,6,620.0,616,814.0,814,HP,229,N164Aæ,114.0,118.0,91.0,0.0,4.0,SFO,PHX,651,6,17,0,,0,,,,,,Y
2001,9,6,4,2200.0,2105,19.0,2300,WN,256,N790@@,79.0,55.0,45.0,79.0,55.0,MDW,DTW,229,8,26,0,,0,,,,,,Y
2001,7,14,6,1925.0,1849,2124.0,2045,HP,771,N327Aæ,119.0,116.0,98.0,39.0,36.0,PHX,SMF,647,4,17,0,,0,,,,,,Y
2001,8,7,2,1812.0,1744,2043.0,2023,HP,416,N315Aæ,91.0,99.0,78.0,20.0,28.0,PHX,COS,551,3,10,0,,0,,,,,,Y
2001,3,18,7,2241.0,2140,2344.0,2250,WN,2057,N314@@,63.0,70.0,46.0,54.0,61.0,BUR,OAK,325,7,10,0,,0,,,,,,Y
2001,4,2,1,830.0,755,944.0,910,CO,1423,N14655,74.0,75.0,45.0,34.0,35.0,EWR,ROC,246,6,23,0,,0,,,,,,Y
2001,3,6,2,1500.0,1435,1552.0,1535,WN,1575,N650@@,112.0,120.0,94.0,17.0,25.0,BWI,BHM,682,8,10,0,,0,,,,,,Y
2001,1,2,2,1815.0,1815,2059.0,2050,UA,912,N355ä1,164.0,155.0,130.0,9.0,0.0,MIA,IAD,921,3,31,0,,0,,,,,,Y
2001,8,19,7,1516.0,1514,1726.0,1740,UA,63,N543ä1,250.0,266.0,237.0,-14.0,2.0,ORD,SFO,1846,4,9,0,,0,,,,,,Y
2001,3,18,7,1624.0,1618,1904.0,1854,AS,483,N768Aâ,160.0,156.0,140.0,10.0,6.0,LAX,SEA,954,5,15,0,,0,,,,,,Y
2001,10,24,3,1859.0,1845,2015.0,2024,DL,468,-N946D,76.0,99.0,68.0,-9.0,14.0,SRQ,ATL,445,7,1,0,,0,,,,,,Y
2001,7,26,4,1627.0,1615,2015.0,2021,TW,923,N708ãæ,228.0,246.0,208.0,-6.0,12.0,SJU,BOS,1674,9,11,0,,0,,,,,,Y
2001,6,6,3,1037.0,1035,1214.0,1215,NW,700,N1332ä,97.0,100.0,71.0,-1.0,2.0,DTW,BDL,548,3,23,0,,0,,,,,,Y
2001,8,14,2,1701.0,1700,1834.0,1848,AA,1859,N2AMA1,93.0,108.0,75.0,-14.0,1.0,BOS,DCA,399,4,14,0,,0,,,,,,Y
2001,8,30,4,901.0,850,1001.0,942,HP,432,N189Aæ,60.0,52.0,32.0,19.0,11.0,TUS,PHX,110,5,23,0,,0,,,,,,Y
2001,3,19,1,1556.0,1557,1818.0,1815,AA,1645,N258A1,262.0,258.0,232.0,3.0,-1.0,DFW,PDX,1616,5,25,0,,0,,,,,,Y
2001,10,14,7,2100.0,2055,2209.0,2205,WN,472,N306@@,69.0,70.0,60.0,4.0,5.0,ONT,SMF,389,4,5,0,,0,,,,,,Y
2001,12,15,6,1045.0,922,1211.0,1035,AA,759,N535A1,146.0,133.0,112.0,96.0,83.0,BWI,ORD,622,7,27,0,,0,,,,,,Y
2001,6,8,5,1224.0,1215,1313.0,1305,WN,2205,N683@@,49.0,50.0,38.0,8.0,9.0,ELP,ABQ,223,5,6,0,,0,,,,,,Y
2001,2,8,4,1039.0,1040,1201.0,1200,NW,868,N760N3,82.0,80.0,60.0,1.0,-1.0,MSY,MEM,349,7,15,0,,0,,,,,,Y
2001,1,26,5,1219.0,1155,1342.0,1329,DL,2138,-N977D,83.0,94.0,72.0,13.0,24.0,ATL,DCA,547,3,8,0,,0,,,,,,Y
2001,6,18,1,1901.0,1720,2159.0,2031,AA,1484,N2DCA1,118.0,131.0,96.0,88.0,101.0,ORD,HPN,738,5,17,0,,0,,,,,,Y
2001,3,6,2,2159.0,2200,122.0,121,NW,1076,N354Næ,143.0,141.0,119.0,1.0,-1.0,MSP,BWI,936,7,17,0,,0,,,,,,Y
2001,11,7,3,1432.0,1425,1555.0,1605,MQ,4299,-N654M,83.0,100.0,68.0,-10.0,7.0,ORD,HSV,510,4,11,0,,0,,,,,,Y
2001,2,18,7,1755.0,1755,2125.0,2122,UA,77,N551ä1,390.0,387.0,356.0,3.0,0.0,EWR,SFO,2565,9,25,0,,0,,,,,,Y
2001,8,24,5,716.0,715,1414.0,1358,DL,608,-N602D,238.0,223.0,205.0,16.0,1.0,LAS,CVG,1678,8,25,0,,0,,,,,,Y
2001,6,14,4,2237.0,2145,2350.0,2305,WN,105,N731@@,73.0,80.0,60.0,45.0,52.0,SJC,SAN,417,3,10,0,,0,,,,,,Y
2001,8,30,4,2243.0,2215,2353.0,2319,NW,775,N718R3,70.0,64.0,44.0,34.0,28.0,MSP,OMA,282,4,22,0,,0,,,,,,Y
2001,11,6,2,2034.0,2036,2144.0,2143,CO,1807,N17128,190.0,187.0,161.0,1.0,-2.0,IAH,LAS,1222,7,22,0,,0,,,,,,Y
2001,3,25,7,846.0,846,1059.0,1044,HP,334,N164Aæ,133.0,118.0,97.0,15.0,0.0,DEN,PHX,602,9,27,0,,0,,,,,,Y
2001,8,10,5,2227.0,1635,2.0,1801,DL,1417,N2829æ,95.0,86.0,69.0,361.0,352.0,CVG,ATL,373,5,21,0,,0,,,,,,Y
2001,2,5,1,1923.0,1921,2035.0,2029,MQ,3397,-N536M,72.0,68.0,40.0,6.0,2.0,DFW,SHV,190,6,26,0,,0,,,,,,Y
2001,5,23,3,1210.0,1210,1316.0,1315,WN,1554,N638@@,66.0,65.0,49.0,1.0,0.0,SAN,LAS,258,4,13,0,,0,,,,,,Y
2001,12,15,6,1142.0,1148,1312.0,1238,MQ,4373,-N642M,90.0,50.0,33.0,34.0,-6.0,CMI,ORD,135,6,51,0,,0,,,,,,Y
2001,12,29,6,1926.0,1915,2.0,10,CO,112,N24715,216.0,235.0,197.0,-8.0,11.0,EWR,BQN,1585,4,15,0,,0,,,,,,Y
2001,4,24,2,1025.0,1005,1205.0,1149,DL,925,N512D1,100.0,104.0,80.0,16.0,20.0,DCA,ATL,547,7,13,0,,0,,,,,,Y
2001,2,16,5,1110.0,1100,1400.0,1336,HP,2109,N662Aæ,350.0,336.0,320.0,24.0,10.0,EWR,LAS,2227,5,25,0,,0,,,,,,Y
2001,1,26,5,658.0,700,831.0,823,CO,1953,N36207,153.0,143.0,132.0,8.0,-2.0,TPA,IAH,787,10,11,0,,0,,,,,,Y
2001,1,12,5,1347.0,1335,1503.0,1457,DL,2150,-N122D,76.0,82.0,57.0,6.0,12.0,ATL,MCO,403,3,16,0,,0,,,,,,Y
2001,6,19,2,1905.0,1905,2133.0,2110,NW,309,N532äâ,268.0,245.0,210.0,23.0,0.0,MSP,LAX,1536,16,42,0,,0,,,,,,Y
2001,9,26,3,1146.0,1144,1344.0,1347,AA,1271,N553A1,178.0,183.0,144.0,-3.0,2.0,ORD,ABQ,1118,15,19,0,,0,,,,,,Y
2001,5,23,3,625.0,625,834.0,830,WN,806,N321@@,69.0,65.0,45.0,4.0,0.0,PHX,ABQ,328,4,20,0,,0,,,,,,Y
2001,12,27,4,913.0,900,1103.0,1050,DL,1903,-N935D,170.0,170.0,136.0,13.0,13.0,CVG,AUS,958,8,26,0,,0,,,,,,Y
2001,8,24,5,919.0,835,1021.0,942,MQ,3643,-N646M,62.0,67.0,45.0,39.0,44.0,DFW,XNA,281,4,13,0,,0,,,,,,Y
2001,10,11,4,2107.0,2055,2313.0,2319,US,137,N601Aä,306.0,324.0,282.0,-6.0,12.0,PIT,SFO,2254,8,16,0,,0,,,,,,Y
2001,11,15,4,2041.0,2040,2347.0,2343,UA,670,N907ä1,126.0,123.0,103.0,4.0,1.0,ORD,LGA,733,4,19,0,,0,,,,,,Y
2001,12,7,5,1421.0,1422,1515.0,1514,CO,1487,N14816,54.0,52.0,37.0,1.0,-1.0,IAH,SAT,191,2,15,0,,0,,,,,,Y
2001,11,12,1,1059.0,1100,1206.0,1204,TW,106,N926ãæ,67.0,64.0,46.0,2.0,-1.0,MCI,STL,237,7,14,0,,0,,,,,,Y
2001,4,17,2,1311.0,1305,1549.0,1550,WN,518,N739@@,158.0,165.0,140.0,-1.0,6.0,SEA,PHX,1107,4,14,0,,0,,,,,,Y
2001,7,25,3,1615.0,1553,1709.0,1650,AA,739,N443A1,174.0,177.0,144.0,19.0,22.0,DFW,SAN,1171,3,27,0,,0,,,,,,Y
2001,4,25,3,930.0,855,1046.0,1026,UA,1723,N980ä1,76.0,91.0,61.0,20.0,35.0,ORD,LNK,466,2,13,0,,0,,,,,,Y
2001,9,19,3,801.0,730,809.0,749,UA,427,N569ä1,68.0,79.0,51.0,20.0,31.0,DTW,ORD,235,4,13,0,,0,,,,,,Y
2001,3,1,4,1555.0,1515,1847.0,1833,AA,1968,N519A1,112.0,138.0,91.0,14.0,40.0,ORD,EWR,719,9,12,0,,0,,,,,,Y
2001,3,16,5,1314.0,1251,1834.0,1818,AA,1401,N553A1,200.0,207.0,181.0,16.0,23.0,OAK,DFW,1456,8,11,0,,0,,,,,,Y
2001,5,21,1,736.0,700,1133.0,1031,NW,940,N942N@,177.0,151.0,134.0,62.0,36.0,MSP,RDU,981,3,40,0,,0,,,,,,Y
2001,5,22,2,630.0,630,927.0,907,US,1080,N448äâ,177.0,157.0,130.0,20.0,0.0,TPA,PHL,920,35,12,0,,0,,,,,,Y
2001,12,8,6,1306.0,1210,1425.0,1337,UA,588,N374ä1,79.0,87.0,63.0,48.0,56.0,SAN,SFO,447,4,12,0,,0,,,,,,Y
2001,3,28,3,1119.0,1105,1300.0,1250,DL,2141,N513D1,101.0,105.0,82.0,10.0,14.0,SLC,FCA,532,5,14,0,,0,,,,,,Y
2001,2,3,6,920.0,920,1031.0,1016,AA,592,N2AãA1,71.0,56.0,35.0,15.0,0.0,DFW,OKC,175,3,33,0,,0,,,,,,Y
2001,1,19,5,1843.0,1700,2133.0,1911,NW,822,N773N3,110.0,71.0,66.0,142.0,103.0,MEM,ATL,332,12,32,0,,0,,,,,,Y
2001,8,4,6,933.0,930,1026.0,1025,WN,11,N345@@,53.0,55.0,40.0,1.0,3.0,DAL,HOU,239,3,10,0,,0,,,,,,Y
2001,11,25,7,1654.0,1700,2057.0,2023,CO,1186,N14653,183.0,143.0,92.0,34.0,-6.0,ORD,EWR,719,6,85,0,,0,,,,,,Y
2001,3,13,2,2054.0,2055,2358.0,2355,DL,447,-N130D,184.0,180.0,157.0,3.0,-1.0,LGA,FLL,1076,6,21,0,,0,,,,,,Y
2001,3,13,2,653.0,655,922.0,920,DL,887,N907D1,209.0,205.0,187.0,2.0,-2.0,DCA,DFW,1192,9,13,0,,0,,,,,,Y
2001,5,7,1,731.0,735,931.0,923,CO,415,N14668,120.0,108.0,75.0,8.0,-4.0,EWR,CLT,529,3,42,0,,0,,,,,,Y
2001,2,22,4,1916.0,1840,2005.0,1921,DL,1948,-N915D,109.0,101.0,90.0,44.0,36.0,SLC,ONT,558,6,13,0,,0,,,,,,Y
2001,1,22,1,1036.0,1030,1517.0,1511,UA,1508,N349ä1,161.0,161.0,139.0,6.0,6.0,DEN,CMH,1155,4,18,0,,0,,,,,,Y
2001,12,28,5,1044.0,1025,1201.0,1144,US,35,N170äæ,77.0,79.0,60.0,17.0,19.0,BWI,CLT,361,9,8,0,,0,,,,,,Y
2001,9,29,6,1214.0,1210,1345.0,1345,US,304,N862äâ,91.0,95.0,77.0,0.0,4.0,CLT,CLE,430,3,11,0,,0,,,,,,Y
2001,9,18,2,923.0,915,1409.0,1408,AA,1696,N3CFA1,166.0,173.0,147.0,1.0,8.0,LAX,AUS,1242,5,14,0,,0,,,,,,Y
2001,3,7,3,908.0,910,1114.0,1055,NW,669,N89385,126.0,105.0,80.0,19.0,-2.0,GSO,DTW,460,9,37,0,,0,,,,,,Y
2001,7,29,7,900.0,850,1120.0,1103,DL,401,N513D1,140.0,133.0,119.0,17.0,10.0,CVG,RSW,879,5,16,0,,0,,,,,,Y
2001,5,23,3,1715.0,1700,1835.0,1815,WN,355,N627@@,80.0,75.0,60.0,20.0,15.0,LAX,PHX,370,6,14,0,,0,,,,,,Y
2001,8,1,3,718.0,715,804.0,814,DL,1862,N914D5,46.0,59.0,32.0,-10.0,3.0,TYS,ATL,152,7,7,0,,0,,,,,,Y
2001,2,13,2,1818.0,1805,1931.0,1910,WN,1143,N691@@,73.0,65.0,62.0,21.0,13.0,ABQ,TUS,321,2,9,0,,0,,,,,,Y
2001,4,30,1,2159.0,2200,627.0,608,TW,702,N636ãæ,328.0,308.0,307.0,19.0,-1.0,LAX,JFK,2475,6,15,0,,0,,,,,,Y
2001,3,25,7,1331.0,1310,1630.0,1619,NW,243,N308äâ,179.0,189.0,155.0,11.0,21.0,FLL,DTW,1127,4,20,0,,0,,,,,,Y
2001,4,3,2,1014.0,950,1157.0,1126,US,1086,N776Aä,103.0,96.0,87.0,31.0,24.0,TPA,CLT,508,5,11,0,,0,,,,,,Y
2001,2,19,1,1419.0,1412,1759.0,1803,TW,312,N969ãæ,160.0,171.0,140.0,-4.0,7.0,SLC,STL,1156,5,15,0,,0,,,,,,Y
2001,7,26,4,2359.0,2357,755.0,722,HP,564,N914Aæ,296.0,265.0,261.0,33.0,2.0,LAS,MCO,2039,5,30,0,,0,,,,,,Y
2001,11,15,4,1049.0,1043,1302.0,1314,AA,2377,N2CâA1,133.0,151.0,111.0,-12.0,6.0,MDW,DFW,797,10,12,0,,0,,,,,,Y
2001,11,30,5,624.0,625,747.0,743,DL,1163,-N126D,83.0,78.0,58.0,4.0,-1.0,ATL,TPA,406,6,19,0,,0,,,,,,Y
2001,10,14,7,2311.0,2135,31.0,2259,DL,2217,N106D1,80.0,84.0,59.0,92.0,96.0,ATL,MCO,403,5,16,0,,0,,,,,,Y
2001,8,6,1,1851.0,1855,2030.0,2025,DL,2374,-N305D,159.0,150.0,130.0,5.0,-4.0,RSW,IND,946,11,18,0,,0,,,,,,Y
2001,3,26,1,1650.0,1650,1819.0,1817,DL,768,N512D1,89.0,87.0,67.0,2.0,0.0,ATL,CMH,446,7,15,0,,0,,,,,,Y
2001,4,11,3,935.0,925,1035.0,1030,WN,1480,N690@@,60.0,65.0,51.0,5.0,10.0,SMF,BUR,358,3,6,0,,0,,,,,,Y
2001,8,18,6,1357.0,1355,,1940,UA,766,N503ä1,,225.0,,,2.0,PDX,ORD,1739,0,16,0,,1,,,,,,Y
2001,8,29,3,1942.0,1906,2146.0,2056,MQ,3683,-N545M,124.0,110.0,92.0,50.0,36.0,DFW,JAN,408,6,26,0,,0,,,,,,Y
2001,10,28,7,1918.0,1909,2052.0,2054,AA,1573,N442A1,214.0,225.0,195.0,-2.0,9.0,DFW,OAK,1456,10,9,0,,0,,,,,,Y
2001,11,16,5,1306.0,1310,1757.0,1754,CO,1124,N27734,171.0,164.0,147.0,3.0,-4.0,LAX,SAT,1210,3,21,0,,0,,,,,,Y
2001,3,3,6,1152.0,1106,1428.0,1355,AS,571,N795Aâ,156.0,169.0,142.0,33.0,46.0,SAN,SEA,1050,4,10,0,,0,,,,,,Y
2001,3,16,5,1325.0,1120,1935.0,1709,UA,1038,N420ä1,250.0,229.0,204.0,146.0,125.0,SAN,ORD,1723,26,20,0,,0,,,,,,Y
2001,7,19,4,1042.0,935,1129.0,1029,US,1532,-N925å,47.0,54.0,35.0,60.0,67.0,MDT,PIT,185,3,9,0,,0,,,,,,Y
2001,2,25,7,1558.0,1455,1717.0,1600,WN,1786,N685@@,79.0,65.0,53.0,77.0,63.0,LAX,SJC,308,2,24,0,,0,,,,,,Y
2001,11,8,4,922.0,924,1028.0,1027,AA,1427,N543A1,126.0,123.0,96.0,1.0,-2.0,DFW,DEN,641,7,23,0,,0,,,,,,Y
2001,1,24,3,853.0,849,1050.0,1044,HP,411,N328Aæ,117.0,115.0,93.0,6.0,4.0,COS,PHX,551,3,21,0,,0,,,,,,Y
2001,4,21,6,1750.0,1730,1910.0,1845,WN,2071,N734@@,80.0,75.0,68.0,25.0,20.0,LAX,PHX,370,5,7,0,,0,,,,,,Y
2001,6,15,5,1535.0,1525,1550.0,1540,WN,725,N523@@,75.0,75.0,61.0,10.0,10.0,SLC,LAS,368,2,12,0,,0,,,,,,Y
2001,8,12,7,914.0,855,1246.0,1237,AS,135,N609Aâ,392.0,402.0,374.0,9.0,19.0,ORD,ANC,2846,6,12,0,,0,,,,,,Y
2001,2,12,1,937.0,942,1124.0,1051,AA,1411,N595A1,167.0,129.0,113.0,33.0,-5.0,RDU,ORD,647,8,46,0,,0,,,,,,Y
2001,10,1,1,1718.0,1645,1800.0,1754,AA,1205,N245A1,102.0,129.0,84.0,6.0,33.0,SYR,ORD,607,8,10,0,,0,,,,,,Y
2001,2,23,5,1435.0,1400,1653.0,1620,DL,488,N546D1,78.0,80.0,52.0,33.0,35.0,JAN,ATL,341,8,18,0,,0,,,,,,Y
2001,8,20,1,1155.0,1155,1444.0,1441,DL,905,N542D1,229.0,226.0,207.0,3.0,0.0,BOS,DFW,1562,5,17,0,,0,,,,,,Y
2001,7,22,7,2253.0,2228,2254.0,2237,AA,817,N283A1,121.0,129.0,101.0,17.0,25.0,DFW,TUS,813,3,17,0,,0,,,,,,Y
2001,2,16,5,1350.0,1345,1639.0,1644,UA,1276,N7277ä,109.0,119.0,94.0,-5.0,5.0,DEN,AUS,775,4,11,0,,0,,,,,,Y
2001,6,21,4,1204.0,1144,1317.0,1244,UA,500,N821ä1,73.0,60.0,45.0,33.0,20.0,ORD,IND,177,10,18,0,,0,,,,,,Y
2001,8,4,6,805.0,805,1108.0,1104,UA,574,N327ä1,123.0,119.0,102.0,4.0,0.0,DEN,STL,770,4,17,0,,0,,,,,,Y
2001,12,30,7,1034.0,1030,1242.0,1237,DL,512,N3753@,128.0,127.0,97.0,5.0,4.0,ATL,LGA,761,12,19,0,,0,,,,,,Y
2001,1,3,3,824.0,820,1057.0,1100,WN,1735,N672@@,93.0,100.0,78.0,-3.0,4.0,MSY,MCO,550,7,8,0,,0,,,,,,Y
2001,8,8,3,1634.0,1630,1800.0,1749,DL,1514,-N615D,86.0,79.0,66.0,11.0,4.0,CHS,ATL,259,9,11,0,,0,,,,,,Y
2001,4,29,7,816.0,815,1205.0,1210,TW,411,N969ãæ,169.0,175.0,153.0,-5.0,1.0,SLC,STL,1156,5,11,0,,0,,,,,,Y
2001,2,3,6,2057.0,2055,2351.0,4,UA,1246,N514ä1,114.0,129.0,94.0,-13.0,2.0,ORD,MHT,843,4,16,0,,0,,,,,,Y
2001,6,20,3,748.0,750,1157.0,1144,DL,588,N911D1,189.0,174.0,153.0,13.0,-2.0,DFW,DCA,1192,6,30,0,,0,,,,,,Y
2001,2,9,5,651.0,610,842.0,728,NW,829,N611N1,111.0,78.0,67.0,74.0,41.0,ICT,MEM,453,6,38,0,,0,,,,,,Y
2001,12,19,3,1908.0,1900,2035.0,2026,DL,1603,-N634D,87.0,86.0,68.0,9.0,8.0,RDU,ATL,356,8,11,0,,0,,,,,,Y
2001,10,13,6,1037.0,930,1132.0,1037,CO,97,N72821,115.0,127.0,96.0,55.0,67.0,IAH,ABQ,744,6,13,0,,0,,,,,,Y
2001,7,10,2,1204.0,1200,1436.0,1434,UA,61,N666ä1,272.0,274.0,221.0,2.0,4.0,ORD,SFO,1846,5,46,0,,0,,,,,,Y
2001,2,28,3,920.0,840,1053.0,1026,UA,2774,N366ä1,93.0,106.0,79.0,27.0,40.0,PHX,DEN,602,6,8,0,,0,,,,,,Y
2001,4,21,6,1520.0,1520,1749.0,1747,AA,1629,N3CMA1,269.0,267.0,232.0,2.0,0.0,ORD,SNA,1726,3,34,0,,0,,,,,,Y
2001,8,11,6,1127.0,1125,1249.0,1309,NW,155,N133J3,202.0,224.0,176.0,-20.0,2.0,MSP,SEA,1399,8,18,0,,0,,,,,,Y
2001,3,11,7,2109.0,2100,2317.0,2310,WN,1424,N651@@,68.0,70.0,54.0,7.0,9.0,LAX,PHX,370,4,10,0,,0,,,,,,Y
2001,8,20,1,1824.0,1755,1953.0,1934,DL,899,N37468,89.0,99.0,68.0,19.0,29.0,BWI,CVG,430,8,13,0,,0,,,,,,Y
2001,8,11,6,1205.0,1205,1357.0,1350,WN,1056,N606@@,112.0,105.0,94.0,7.0,0.0,JAX,BWI,663,4,14,0,,0,,,,,,Y
2001,12,4,2,1158.0,1155,1449.0,1450,DL,1880,N927D1,111.0,115.0,91.0,-1.0,3.0,IAH,ATL,689,9,11,0,,0,,,,,,Y
2001,7,31,2,1605.0,1545,1724.0,1705,WN,1758,N767@@,79.0,80.0,70.0,19.0,20.0,OAK,LAS,407,4,5,0,,0,,,,,,Y
2001,2,16,5,1504.0,1435,1701.0,1623,CO,278,N27734,117.0,108.0,73.0,38.0,29.0,CLE,EWR,404,5,39,0,,0,,,,,,Y
2001,4,19,4,1103.0,1050,1324.0,1310,WN,134,N349@@,141.0,140.0,128.0,14.0,13.0,SEA,LAS,866,4,9,0,,0,,,,,,Y
2001,5,12,6,1843.0,1840,2050.0,2105,AA,1149,N5CNA1,247.0,265.0,226.0,-15.0,3.0,ORD,LAX,1745,5,16,0,,0,,,,,,Y
2001,5,5,6,1924.0,1930,2107.0,2030,DL,1912,N8875é,103.0,60.0,56.0,37.0,-6.0,DFW,SHV,190,7,40,0,,0,,,,,,Y
2001,4,5,4,717.0,711,1105.0,1105,UA,570,N566ä1,168.0,174.0,145.0,0.0,6.0,ORD,FLL,1182,4,19,0,,0,,,,,,Y
2001,4,6,5,1936.0,1833,2138.0,1950,TW,254,N96211,122.0,77.0,66.0,108.0,63.0,STL,ORD,258,20,36,0,,0,,,,,,Y
